
País,Empresa,Año,pollos anuales,población de ponedoras,pavos anuales
Ecuador,Avícola San Isidro,2013,15600000,,
Costa Rica,DIP-CMI (Costa Rica),2018,17500000,,
Costa Rica,DIP-CMI (Costa Rica),2017,14400000,,
Costa Rica,DIP-CMI (Costa Rica),2016,15600000,,
Costa Rica,DIP-CMI (Costa Rica),2015,8e+06,,
Costa Rica,DIP-CMI (Costa Rica),2014,8e+06,,
Costa Rica,DIP-CMI (Costa Rica),2013,8e+06,,
Costa Rica,Corporación PIPASA (Cargill),2018,3.6e+07,350000,120000
Costa Rica,Corporación PIPASA (Cargill),2017,38400000,350000,120000
Costa Rica,Corporación PIPASA (Cargill),2016,42120000,350000,120000
Costa Rica,Corporación PIPASA (Cargill),2015,5.7e+07,350000,120000
Costa Rica,Corporación PIPASA (Cargill),2014,32850000,350000,
Costa Rica,Corporación PIPASA (Cargill),2013,57120000,350000,
Chile,Agrícola Ariztía,2018,6.5e+07,,1500000
Chile,Agrícola Ariztía,2017,6.5e+07,,1500000
Chile,Agrícola Ariztía,2016,66500000,,1500000
Chile,Agrícola Ariztía,2015,6.5e+07,,1100000
Chile,Agrícola Ariztía,2014,86100000,,
Chile,Agrícola Ariztía,2013,86100000,,
Brasil,Coopavel,2018,6.3e+07,,
Brasil,Coopavel,2017,28300000,,
Brasil,Coopavel,2016,2.8e+07,,
Brasil,Coopavel,2015,50200000,,
Brasil,Coopavel,2014,4.8e+07,,
Brasil,Coopavel,2013,4.8e+07,,
Brasil,Copacol,2018,184800000,,
Brasil,Copacol,2017,1.8e+08,,
Brasil,Copacol,2016,1.8e+08,,
Brasil,Copacol,2015,99300000,,
Brasil,Copacol,2014,9.5e+07,,
Brasil,Copacol,2013,7.3e+07,,
Bolivia,Agropecuaria La Gioconda IMBA,2018,14400000,,
Bolivia,Agropecuaria La Gioconda IMBA,2017,12400000,,
Bolivia,Agropecuaria La Gioconda IMBA,2016,14400000,,
Bolivia,Agropecuaria La Gioconda IMBA,2015,21600000,,
Bolivia,Agropecuaria La Gioconda IMBA,2014,1.8e+07,,
Bolivia,Agropecuaria La Gioconda IMBA,2013,11500000,,
Bolivia,Avícola Sofía,2017,52300000,,
Bolivia,Avícola Sofía,2016,49700000,,
Bolivia,Avícola Sofía,2015,4.6e+07,,
Bolivia,Avícola Sofía,2014,40500000,,
Bolivia,Avícola Sofía,2013,3.7e+07,,
Argentina,Miralejos,2018,22300000,,
Argentina,Miralejos,2017,2.4e+07,,
Argentina,Miralejos,2016,23600000,,
Argentina,Miralejos,2015,24500000,,
Argentina,Miralejos,2014,2.3e+07,,
Argentina,Miralejos,2013,26250000,,
Argentina,Noelma,2018,37600000,,
Argentina,Noelma,2017,37300000,,
Argentina,Noelma,2016,38800000,,
Argentina,Noelma,2015,40700000,,
Argentina,Noelma,2014,3.9e+07,,
Argentina,Noelma,2013,39900000,,
Argentina,Las Camelias,2018,52400000,,
Argentina,Las Camelias,2017,50600000,,
Argentina,Las Camelias,2016,48600000,,
Argentina,Las Camelias,2015,4.9e+07,,
Argentina,Las Camelias,2014,51200000,,
Argentina,Las Camelias,2013,48300000,,
Venezuela,Avícola La Guásima,2018,27840000,,
Venezuela,Avícola La Guásima,2017,3.8e+07,,
Venezuela,Avícola La Guásima,2016,1.8e+07,,
Venezuela,Avícola La Guásima,2015,3.5e+07,,
Venezuela,Avícola La Guásima,2014,58700000,,
Venezuela,Avícola La Guásima,2013,58700000,,
Argentina,Frigorífico Soychú SA,2018,85500000,,
Argentina,Frigorífico Soychú SA,2017,72400000,,
Argentina,Frigorífico Soychú SA,2016,72300000,,
Argentina,Frigorífico Soychú SA,2015,69600000,,
Argentina,Frigorífico Soychú SA,2014,6.5e+07,,
Argentina,Frigorífico Soychú SA,2013,6.3e+07,,
México,Avigrupo,2018,7.8e+07,,
México,Avigrupo,2017,7e+07,,
México,Avigrupo,2016,7.8e+07,,
México,Avigrupo,2015,7.8e+07,,
México,Avigrupo,2014,6.1e+07,,
México,Avigrupo,2013,6.1e+07,,
México,Proteína Animal (PROAN),2018,,3.4e+07,
México,Proteína Animal (PROAN),2017,,3.3e+07,
México,Proteína Animal (PROAN),2016,,3e+07,
México,Proteína Animal (PROAN),2015,,3e+07,
México,Proteína Animal (PROAN),2014,,3e+07,
México,Proteína Animal (PROAN),2013,,3e+07,
México,Grupo Pecuario San Antonio,2018,104500000,,
México,Grupo Pecuario San Antonio,2017,83400000,,
México,Grupo Pecuario San Antonio,2016,83400000,,
México,Grupo Pecuario San Antonio,2015,8e+07,,
México,Grupo Pecuario San Antonio,2014,6.8e+07,,
México,Grupo Pecuario San Antonio,2013,6.8e+07,,
México,Empresas Guadalupe,2018,,1e+07,
México,Empresas Guadalupe,2017,,1e+07,
México,Empresas Guadalupe,2016,,1e+07,
México,Empresas Guadalupe,2015,,1.2e+07,
México,Empresas Guadalupe,2014,,7470000,
México,Empresas Guadalupe,2013,,7470000,
Honduras,Cargill Proteína Latinoamérica,2018,4.8e+07,,
Honduras,Cargill Proteína Latinoamérica,2017,4.5e+07,,
Honduras,Cargill Proteína Latinoamérica,2016,3.6e+07,,
Honduras,Cargill Proteína Latinoamérica,2015,40800000,,
Honduras,Cargill Proteína Latinoamérica,2014,32850000,,
Honduras,Cargill Proteína Latinoamérica,2013,40820000,,
Brasil,Seara (JBS),2018,NA,,6e+06
Brasil,Seara (JBS),2017,NA,,6500000
Brasil,Seara (JBS),2016,NA,,
Brasil,Seara (JBS),2015,NA,,6300000
Brasil,Seara (JBS),2014,981300000,,
Brasil,Seara (JBS),2013,981700000,,
Perú,San Fernando,2018,2.5e+08,5e+05,4e+06
Perú,San Fernando,2017,241850000,450000,2500000
Perú,San Fernando,2016,241850000,550000,1850000
Perú,San Fernando,2015,2.4e+08,7e+05,1850000
Perú,San Fernando,2014,241850000,6e+05,
Perú,San Fernando,2013,241850000,6e+05,
Brasil,Rio Branco Alimentos S/A aka Pif Paf Alimentos,2018,8e+07,,
Brasil,Rio Branco Alimentos S/A aka Pif Paf Alimentos,2017,8.1e+07,,
Brasil,Rio Branco Alimentos S/A aka Pif Paf Alimentos,2016,8e+07,,
Brasil,Rio Branco Alimentos S/A aka Pif Paf Alimentos,2015,57500000,,
Brasil,Rio Branco Alimentos S/A aka Pif Paf Alimentos,2014,5.5e+07,,
Brasil,Rio Branco Alimentos S/A aka Pif Paf Alimentos,2013,5.5e+07,,
Paraguay,Gaposa,2017,,220000,
Paraguay,Gaposa,2015,,2e+05,
Paraguay,Gaposa,2014,,170000,
Paraguay,Gaposa,2013,,170000,
Paraguay,Las Tacuaras (Nutrihuevos),2018,,1e+06,
Paraguay,Las Tacuaras (Nutrihuevos),2017,,1e+06,
Paraguay,Las Tacuaras (Nutrihuevos),2016,,1e+06,
Paraguay,Las Tacuaras (Nutrihuevos),2015,,9e+05,
Paraguay,Las Tacuaras (Nutrihuevos),2014,,850000,
Paraguay,Las Tacuaras (Nutrihuevos),2013,,850000,
Paraguay,Granja Avícola Maehara,2018,,1e+06,
Paraguay,Granja Avícola Maehara,2017,,1100000,
Paraguay,Granja Avícola Maehara,2016,,1100000,
Paraguay,Granja Avícola Maehara,2015,,1100000,
Paraguay,Granja Avícola Maehara,2014,,1e+06,
Paraguay,Granja Avícola Maehara,2013,,1e+06,
Argentina,Rothex SA,2018,,9e+05,
Argentina,Rothex SA,2017,,9e+05,
Argentina,Rothex SA,2016,,880000,
Argentina,Rothex SA,2015,,880000,
Argentina,Rothex SA,2014,,8e+05,
Argentina,Rothex SA,2013,,8e+05,
Argentina,Roth SRL,2018,,8e+05,
Argentina,Roth SRL,2017,,7e+05,
Argentina,Roth SRL,2016,,7e+05,
Argentina,Roth SRL,2015,,7e+05,
Argentina,Roth SRL,2014,,8e+05,
Argentina,Roth SRL,2013,,8e+05,
México,Pilgrim's de México (JBS),2018,4.38e+08,,
México,Pilgrim's de México (JBS),2017,401500000,,
México,Pilgrim's de México (JBS),2016,4.7e+08,,
México,Pilgrim's de México (JBS),2015,4.7e+08,,
México,Pilgrim's de México (JBS),2014,2.2e+08,,
México,Pilgrim's de México (JBS),2013,2.2e+08,,
República Dominicana,Grupo SuperAlba,2018,2e+07,,
República Dominicana,Grupo SuperAlba,2017,2e+07,,
República Dominicana,Grupo SuperAlba,2016,2e+07,,
República Dominicana,Grupo SuperAlba,2015,11500000,,
República Dominicana,Grupo SuperAlba,2014,11600000,,
República Dominicana,Grupo SuperAlba,2013,11650000,,
Chile,Agrosuper Group,2016,118200000,,8200000
Chile,Agrosuper Group,2015,1.25e+08,,
Chile,Agrosuper Group,2014,135350000,,
Argentina,Granja Tres Arroyos,2018,143200000,,
Argentina,Granja Tres Arroyos,2017,129400000,,
Argentina,Granja Tres Arroyos,2016,116200000,,
Argentina,Granja Tres Arroyos,2015,1.21e+08,,
Argentina,Granja Tres Arroyos,2014,118800000,,
Argentina,Granja Tres Arroyos,2013,120750000,,
Venezuela,Seravian CA,2018,1.5e+07,,
Venezuela,Seravian CA,2017,1.5e+07,,
Venezuela,Seravian CA,2016,1.5e+07,,
Venezuela,Seravian CA,2015,4.9e+07,,
Venezuela,Seravian CA,2014,49900000,,
Venezuela,Seravian CA,2013,49900000,,
Venezuela,Protinal-Proagro CA,2018,1.8e+07,,
Venezuela,Protinal-Proagro CA,2017,1.5e+07,,
Venezuela,Protinal-Proagro CA,2016,6.6e+07,,
Venezuela,Protinal-Proagro CA,2015,164500000,,
Venezuela,Protinal-Proagro CA,2014,133100000,,
Venezuela,Protinal-Proagro CA,2013,133100000,,
Colombia,Italcol,2018,,1200000,4e+05
Colombia,Italcol,2017,,1200000,4e+05
Colombia,Italcol,2015,1e+07,,
Colombia,Italcol,2014,1e+07,,
Colombia,Italcol,2013,1e+07,,
Venezuela,Grupo La Caridad,2018,2.4e+07,1200000,
Venezuela,Grupo La Caridad,2017,36400000,1500000,
Venezuela,Grupo La Caridad,2016,36400000,1500000,
Venezuela,Grupo La Caridad,2015,9.8e+07,4500000,
Venezuela,Grupo La Caridad,2014,98200000,4490000,
Venezuela,Grupo La Caridad,2013,98200000,4490000,
México,Industrias Bachoco,2018,6.22e+08,12200000,
México,Industrias Bachoco,2017,5.95e+08,1.2e+07,
México,Industrias Bachoco,2016,5.95e+08,1.2e+07,
México,Industrias Bachoco,2015,6.72e+08,1.2e+07,
México,Industrias Bachoco,2014,7.02e+08,7600000,
México,Industrias Bachoco,2013,5.03e+08,6800000,
Brasil,BRF,2018,NA,,2.5e+07
Brasil,BRF,2017,NA,,3.7e+07
Brasil,BRF,2016,NA,,
Brasil,BRF,2015,NA,,38900000
Brasil,BRF,2014,NA,,
Brasil,BRF,2013,NA,,
Colombia,Avidesa,2018,1.42e+08,,
Colombia,Avidesa,2017,1.3e+08,,
Colombia,Avidesa,2016,1.24e+08,,
Colombia,Avidesa,2015,5.1e+07,,
Colombia,Avidesa,2014,5.1e+07,,
Colombia,Avidesa,2013,5.1e+07,,
Argentina,Avex S.A.,2018,,,
Argentina,Avex S.A.,2017,18100000,,
Argentina,Avex S.A.,2016,19700000,,
Argentina,Avex S.A.,2015,19130000,,
Argentina,Avex S.A.,2014,19500000,,
Argentina,Avex S.A.,2013,32550000,,
Brasil,Aurora Alimentos,2018,2.64e+08,,
Brasil,Aurora Alimentos,2017,196500000,,
Brasil,Aurora Alimentos,2016,196500000,,
Brasil,Aurora Alimentos,2015,196500000,,
Brasil,Aurora Alimentos,2014,187900000,,
Brasil,Aurora Alimentos,2013,187900000,,
Brasil,C Vale - Cooperativa Agroindustrial,2018,9.5e+07,,
Brasil,C Vale - Cooperativa Agroindustrial,2017,1.06e+08,,
Brasil,C Vale - Cooperativa Agroindustrial,2016,1.05e+08,,
Brasil,C Vale - Cooperativa Agroindustrial,2015,60600000,,
Brasil,C Vale - Cooperativa Agroindustrial,2014,5.8e+07,,
Brasil,C Vale - Cooperativa Agroindustrial,2013,5.8e+07,,
Ecuador,Pronaca,2018,62900000,8e+05,8e+05
Ecuador,Pronaca,2017,62900000,1e+06,750000
Ecuador,Pronaca,2016,110750000,,750000
Ecuador,Pronaca,2015,7.2e+07,6e+05,6e+05
Ecuador,Pronaca,2014,76600000,6e+05,
Ecuador,Pronaca,2013,73400000,7e+05,
Brasil,Lar Cooperativa Agroindustrial,2018,1.71e+08,,
República Dominicana,Pollo Cibao,2018,5.8e+07,,
República Dominicana,Pollo Cibao,2017,5.8e+07,,
México,Agropecuaria El Huizache,2018,,2e+06,
México,Agropecuaria El Huizache,2017,,2e+06,
Guatemala,Avícola Agua Blanca,2018,,5e+05,
Guatemala,Avícola Agua Blanca,2017,,5e+05,
Guatemala,Kaxim,2018,,8e+05,
Guatemala,Kaxim,2017,,8e+05,
Guatemala,Avícola El Ciprés,2018,,8e+05,
Guatemala,Avícola El Ciprés,2017,,8e+05,
Perú,Isamisa,2017,,,360000
Perú,Isamisa,2016,,,360000
México,Ojai Alimentos,2018,,2e+06,
México,Ojai Alimentos,2017,,2500000,
México,Ojai Alimentos,2016,,1500000,
El Salvador,Granjita El Progreso,2016,,230000,
El Salvador,AVICAR,2016,,260000,
El Salvador,Granja El Roble,2016,,2e+06,
Ecuador,Grupo Verástegui,2017,,1600000,
Ecuador,Grupo Verástegui,2016,,2e+06,
Brasil,Granja Avine,2016,,1300000,
Brasil,Gran Tijuca,2016,,1500000,
Brasil,Granja Almeida,2018,,4200000,
Brasil,Granja Almeida,2017,,3500000,
Brasil,Granja Almeida,2016,,3500000,
Argentina,Nuestra Huella SA,2018,,650000,
Argentina,Nuestra Huella SA,2017,,650000,
Argentina,Nuestra Huella SA,2016,,650000,
Colombia,Acondesa,2018,17600000,,
Colombia,Acondesa,2017,1.6e+07,,
Colombia,Acondesa,2016,1.4e+07,,
Colombia,Puro Pollo,2018,2.2e+07,,
Colombia,Puro Pollo,2017,1.8e+07,,
Colombia,Puro Pollo,2016,1.8e+07,,
Guatemala,Avícola Kikiriki,2018,8e+06,,
Guatemala,Avícola Kikiriki,2017,1e+07,,
Guatemala,Avícola Kikiriki,2016,3500000,,
Venezuela,Groupo Ebenezer,2018,43200000,,
Venezuela,Groupo Ebenezer,2017,3.6e+07,,
Venezuela,Groupo Ebenezer,2016,18700000,,
República Dominicana,Coave,2018,2.4e+07,,
República Dominicana,Coave,2017,2.4e+07,,
República Dominicana,Coave,2016,,,
Perú,Avícola San Luis,2018,2.2e+07,,
Perú,Avícola San Luis,2017,2.2e+07,,
Perú,Avícola San Luis,2016,2.2e+07,,
Chile,Pollos Santa Rosa,2016,2e+06,,
Argentina,Sagemuller S.A.,2018,15300000,,
Argentina,Sagemuller S.A.,2017,14700000,,
Argentina,Sagemuller S.A.,2016,13700000,,
Colombia,Operadora Avícola (OPAV),2018,51800000,,
Colombia,Operadora Avícola (OPAV),2017,3.7e+07,,
Colombia,Operadora Avícola (OPAV),2016,3.7e+07,,
Colombia,Operadora Avícola (OPAV),2015,32400000,,
Brasil,Iana Alimentos,2016,,1900000,
Brasil,Iana Alimentos,2015,,1900000,
Bolivia,Avigua SRL,2018,5180000,,
Bolivia,Avigua SRL,2017,8e+06,,
Bolivia,Avigua SRL,2016,8e+06,,
Bolivia,Avigua SRL,2015,8e+06,,
Bolivia,Avícola La Esperanza,2018,,3e+05,
Bolivia,Avícola La Esperanza,2017,,3e+05,
Bolivia,Avícola La Esperanza,2016,,2e+05,
Bolivia,Avícola La Esperanza,2015,,2e+05,
Argentina,Fadel SA,2018,19800000,,
Argentina,Fadel SA,2017,17400000,,
Argentina,Fadel SA,2016,16800000,,
Argentina,Fadel SA,2015,15400000,,
Paraguay,Molino San Juan SRL,2018,8e+06,,
Paraguay,Molino San Juan SRL,2017,8e+06,,
Paraguay,Molino San Juan SRL,2016,8e+06,,
Paraguay,Molino San Juan SRL,2015,8e+06,,
Uruguay,Avícola El Poyote,2018,7800000,,
Uruguay,Avícola El Poyote,2017,8300000,,
Uruguay,Avícola El Poyote,2016,7800000,,
Uruguay,Avícola El Poyote,2015,8e+06,,
Colombia,Campollo (Cargill),2018,4e+07,,
Colombia,Campollo (Cargill),2017,3.5e+07,,
Colombia,Campollo (Cargill),2016,3.5e+07,,
Colombia,Campollo (Cargill),2015,1.2e+07,,
México,Avícola y Porcícola de los Altos,2018,,5500000,
México,Avícola y Porcícola de los Altos,2017,,4800000,
México,Avícola y Porcícola de los Altos,2016,,4800000,
México,Avícola y Porcícola de los Altos,2015,4800000,4800000,
México,Avícola y Porcícola de los Altos,2014,,4e+06,
República Dominicana,Pollos Eccus,2018,3.2e+07,,
República Dominicana,Pollos Eccus,2017,3.2e+07,,
República Dominicana,Pollos Eccus,2016,1.7e+07,,
República Dominicana,Pollos Eccus,2015,18500000,,
República Dominicana,Pollos Eccus,2014,16800000,,
Argentina,Santiago Eichhorn e Hijos SRL,2018,1.4e+07,,
Argentina,Santiago Eichhorn e Hijos SRL,2017,1.4e+07,,
Argentina,Santiago Eichhorn e Hijos SRL,2016,13500000,,
Argentina,Santiago Eichhorn e Hijos SRL,2015,14400000,,
Argentina,Santiago Eichhorn e Hijos SRL,2014,1.4e+07,,
Argentina,Domvil, SA,2018,15200000,,
Argentina,Domvil, SA,2017,14700000,,
Argentina,Domvil, SA,2016,14400000,,
Argentina,Domvil, SA,2015,14400000,,
Argentina,Domvil, SA,2014,14600000,,
Colombia,Pollos El Bucanero (Cargill),2018,7e+07,,
Colombia,Pollos El Bucanero (Cargill),2017,74500000,,
Colombia,Pollos El Bucanero (Cargill),2016,66600000,,
Colombia,Pollos El Bucanero (Cargill),2015,53600000,,
Colombia,Pollos El Bucanero (Cargill),2014,4.9e+07,,
Colombia,Pollos El Bucanero (Cargill),2013,4.6e+07,,
Chile,Agrícola Santiago Yerkovic,2018,,650000,
Chile,Agrícola Santiago Yerkovic,2017,,650000,
Chile,Agrícola Santiago Yerkovic,2016,,480000,
Chile,Agrícola Santiago Yerkovic,2015,,490000,
Chile,Agrícola Santiago Yerkovic,2014,,490000,
Chile,Agrícola Santiago Yerkovic,2013,,490000,
Chile,Avícola y Comercial El Toco Ltda.,2018,,6e+05,
Chile,Avícola y Comercial El Toco Ltda.,2017,,6e+05,
Chile,Avícola y Comercial El Toco Ltda.,2016,,6e+05,
Chile,Avícola y Comercial El Toco Ltda.,2015,,550000,
Chile,Avícola y Comercial El Toco Ltda.,2014,,550000,
Chile,Avícola y Comercial El Toco Ltda.,2013,,550000,
República Dominicana,Grupo Agropecuario Don Julio,2018,7e+06,8e+05,
República Dominicana,Grupo Agropecuario Don Julio,2017,7e+06,8e+05,
República Dominicana,Grupo Agropecuario Don Julio,2016,7e+06,8e+05,
República Dominicana,Grupo Agropecuario Don Julio,2015,6400000,8e+05,
República Dominicana,Grupo Agropecuario Don Julio,2014,9200000,8e+05,
República Dominicana,Grupo Agropecuario Don Julio,2013,9200000,8e+05,
Venezuela,Purolomo,2018,33600000,1200000,
Venezuela,Purolomo,2017,17600000,450000,
Venezuela,Purolomo,2016,,9e+05,
Venezuela,Purolomo,2015,3.3e+07,1400000,
Venezuela,Purolomo,2014,,2100000,
Venezuela,Purolomo,2013,,2100000,
Argentina,Alibue,2018,25900000,,
Argentina,Alibue,2017,23800000,,
Argentina,Alibue,2016,25700000,,
Argentina,Alibue,2015,2.2e+07,,
Argentina,Alibue,2014,16500000,,
Argentina,Bonnín Hnos.,2018,15400000,,
Argentina,Bonnín Hnos.,2017,14600000,,
Argentina,Bonnín Hnos.,2016,15600000,,
Argentina,Bonnín Hnos.,2015,1.5e+07,,
Argentina,Bonnín Hnos.,2014,15200000,,
Argentina,Bonnín Hnos.,2013,15300000,,
Argentina,CALISA,2018,21600000,,
Argentina,CALISA,2017,21800000,,
Argentina,CALISA,2016,2.1e+07,,
Argentina,CALISA,2015,2.2e+07,,
Argentina,CALISA,2014,19700000,,
Argentina,CALISA,2013,15700000,,
Chile,Granja Avícola Arizona,2018,,6e+05,
Chile,Granja Avícola Arizona,2017,,6e+05,
Chile,Granja Avícola Arizona,2016,,6e+05,
Chile,Granja Avícola Arizona,2015,,6e+05,
Chile,Granja Avícola Arizona,2014,,6e+05,
Chile,Granja Avícola Arizona,2013,,6e+05,
Venezuela,Grupo El Tunal,2018,,3e+06,
Venezuela,Grupo El Tunal,2017,,450000,
Venezuela,Grupo El Tunal,2016,,9e+05,
Venezuela,Grupo El Tunal,2015,,1320000,
Venezuela,Grupo El Tunal,2014,,2200000,
Venezuela,Grupo El Tunal,2013,,2200000,
Venezuela,Ovomar,2018,,,
Venezuela,Ovomar,2017,,5e+05,
Venezuela,Ovomar,2016,,1e+06,
Venezuela,Ovomar,2015,,1500000,
Venezuela,Ovomar,2014,,2480000,
Venezuela,Ovomar,2013,,2480000,
Uruguay,La Naturaleza,2018,,230000,
Uruguay,La Naturaleza,2017,,3e+05,
Uruguay,La Naturaleza,2016,,240000,
Uruguay,La Naturaleza,2015,,2e+05,
Uruguay,La Naturaleza,2014,,130000,
Uruguay,La Naturaleza,2013,,130000,
Uruguay,Ianovo Granjas Avícolas,2017,,280000,
Uruguay,Ianovo Granjas Avícolas,2016,,2e+05,
Uruguay,Ianovo Granjas Avícolas,2015,,160000,
Uruguay,Ianovo Granjas Avícolas,2014,,150000,
Uruguay,Ianovo Granjas Avícolas,2013,,150000,
Uruguay,Prodhin,2018,,5e+05,
Uruguay,Prodhin,2017,,1e+06,
Uruguay,Prodhin,2016,,370000,
Uruguay,Prodhin,2015,,420000,
Uruguay,Prodhin,2014,,420000,
Uruguay,Prodhin,2013,,420000,
República Dominicana,Granja Joselyn,2018,,6e+05,
República Dominicana,Granja Joselyn,2017,,6e+05,
República Dominicana,Granja Joselyn,2016,,6e+05,
República Dominicana,Granja Joselyn,2015,,5e+05,
República Dominicana,Granja Joselyn,2014,,5e+05,
República Dominicana,Granja Joselyn,2013,,5e+05,
Perú,Agropecuaria Río Bravo,2018,,4200000,
Perú,Agropecuaria Río Bravo,2017,,5e+06,
Perú,Agropecuaria Río Bravo,2016,,2700000,
Perú,Agropecuaria Río Bravo,2015,,2500000,
Perú,Agropecuaria Río Bravo,2014,,2e+06,
Perú,Agropecuaria Río Bravo,2013,,2e+06,
Perú,Avícola La Calera,2018,,6e+06,
Perú,Avícola La Calera,2017,,6e+06,
Perú,Avícola La Calera,2016,,5600000,
Perú,Avícola La Calera,2015,,5e+06,
Perú,Avícola La Calera,2014,,4500000,
Perú,Avícola La Calera,2013,,4500000,
Nicaragua,Grupo Industrial El Granjero,2018,,580000,
Nicaragua,Grupo Industrial El Granjero,2017,,580000,
Nicaragua,Grupo Industrial El Granjero,2016,,470000,
Nicaragua,Grupo Industrial El Granjero,2015,,470000,
Nicaragua,Grupo Industrial El Granjero,2014,,250000,
Nicaragua,Grupo Industrial El Granjero,2013,,250000,
Nicaragua,Avícola La Barranca,2018,,4e+05,
